SKU,Product Desc,Current Week,Target Production Week,Weekly ADU,CoV,Red Base,Red Safety,Red Zone,Yellow Zone,Green Zone,Top of Red,Top of Yellow,Top of Green,Net Flow,Recommended Production,Inventory (Current Week),On Order,Qualified Demand
564481,FGR+ FIGAROLLPLUS 5/280+40 BRAUN BRAAS,2026 W06,2026 W09,374.9047619047619,0.9724485883103953,393.65,314.92,708.5699999999999,787.3,393.65,708.5699999999999,1495.87,1889.52,3408.0,0,3618.0,1440.0,1650
564482,FGR+ FIGAROLLPLUS 5/280+40 ANTHR BRAMAC,2026 W06,2026 W09,1967.3333333333333,0.6519802035284094,2065.7,1032.85,3098.5499999999997,4131.4,2065.7,3098.5499999999997,7229.949999999999,9295.649999999998,6391.0,2970,2701.0,6660.0,2970
564483,FGR+ FIGAROLLPLUS 5/280+40 ROT BRAAS,2026 W06,2026 W09,1048.095238095238,0.7945720279688031,1729.357142857143,864.6785714285714,2594.035714285714,3458.714285714286,1729.357142857143,2594.035714285714,6052.75,7782.107142857143,4284.0,3510,1764.0,4050.0,1530
564551,FGR+ FIGAROLLPLUS 5/340+40 BRAUN MONIER,2026 W06,2026 W10,34.285714285714285,3.0992117766237977,54.85714285714286,43.88571428571429,98.74285714285716,109.71428571428572,180.0,98.74285714285716,208.45714285714288,388.4571428571429,451.0,0,1.0,720.0,270
564552,FGR+ FIGAROLLPLUS 5/340+40 ANTHR MONIER,2026 W06,2026 W10,35.142857142857146,2.771297098867016,63.25714285714287,50.6057142857143,113.86285714285717,126.51428571428573,180.0,113.86285714285717,240.3771428571429,420.37714285714287,360.0,0,360.0,0.0,0
564553,FGR+ FIGAROLLPLUS 5/340+40 ROT MONIER,2026 W06,2026 W10,720.0,1.8759958073941074,1440.0,1152.0,2592.0,2880.0,2880.0,2592.0,5472.0,8352.0,8010.0,0,8010.0,0.0,0
564701,FGR+ FIGAROLLPLUS 10/280+40 BRAUN BRAAS,2026 W06,2026 W09,23.142857142857142,2.524570615000392,31.242857142857144,24.994285714285716,56.23714285714286,62.48571428571429,90.0,56.23714285714286,118.72285714285715,208.72285714285715,-39.0,270,6.0,0.0,45
564702,FGR+ FIGAROLLPLUS 10/280+40 ANTHR PL,2026 W06,2026 W09,606.0,1.3745475659724962,909.0,727.2,1636.2,1818.0,909.0,1636.2,3454.2,4363.2,4888.0,0,3043.0,4320.0,2475
564703,FGR+ FIGAROLLPLUS 10/280+40 ROT BRAAS,2026 W06,2026 W09,114.85714285714286,1.6249771459153268,155.05714285714288,124.04571428571431,279.1028571428572,310.11428571428576,180.0,279.1028571428572,589.217142857143,769.217142857143,-99.0,900,36.0,360.0,495
564815,FGR+ FIGAROLLPLUS 5/280+40 TIEFROT BRAAS,2026 W06,2026 W09,45.42857142857143,2.0222007009451017,47.7,38.160000000000004,85.86000000000001,95.4,360.0,85.86000000000001,181.26000000000002,541.26,451.0,0,1.0,540.0,90
564820,FGR+ FIGAROLLPLUS 5/280+40 SCHWARZ BRAAS,2026 W06,2026 W09,147.42857142857142,1.159729415290367,221.1428571428571,176.9142857142857,398.0571428571428,442.2857142857142,360.0,398.0571428571428,840.342857142857,1200.3428571428572,901.0,0,1.0,900.0,0
